epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,2603.22,0.92772,0.70586,1.28129,0.99323,1,0.995,0.67407,0.92327,0.56565,1.3924,0.000198202,0.000198202,0.000198202
89,2625.78,0.94683,0.73864,1.27135,0.99316,1,0.995,0.66254,1.00797,0.58406,1.47132,0.000184055,0.000184055,0.000184055
90,2651.95,0.98602,0.73517,1.25085,0.98983,1,0.995,0.66919,0.99363,0.62454,1.4702,0.000169908,0.000169908,0.000169908
91,2676.02,0.87862,0.73895,1.31104,0.98301,0.99474,0.995,0.67368,0.9337,0.62827,1.42473,0.000155761,0.000155761,0.000155761
92,2699.86,0.87516,0.67174,1.30361,0.99069,0.97791,0.995,0.67093,0.9386,0.6378,1.44562,0.000141614,0.000141614,0.000141614
93,2723.74,0.83114,0.64426,1.25606,0.99096,0.97771,0.995,0.65356,0.97559,0.61327,1.47568,0.000127467,0.000127467,0.000127467
94,2750.96,0.85481,0.63805,1.2983,0.98542,0.98024,0.995,0.65905,1.00712,0.60962,1.49503,0.00011332,0.00011332,0.00011332
95,2777.02,0.8381,0.61352,1.3257,0.98814,0.9967,0.995,0.65434,1.01782,0.59408,1.49086,9.91726e-05,9.91726e-05,9.91726e-05
96,2801.87,0.88555,0.59428,1.30608,0.98954,1,0.995,0.67159,0.97203,0.60257,1.43622,8.50255e-05,8.50255e-05,8.50255e-05
97,2827.31,0.84702,0.589,1.26509,0.98887,1,0.995,0.69179,0.8796,0.62184,1.35567,7.08784e-05,7.08784e-05,7.08784e-05
98,2852.65,0.86143,0.5827,1.32003,0.9877,0.99959,0.995,0.69432,0.83734,0.57651,1.32319,5.67313e-05,5.67313e-05,5.67313e-05
99,2879.59,0.79375,0.5615,1.25407,0.98716,0.99935,0.995,0.70718,0.80888,0.58638,1.30696,4.25842e-05,4.25842e-05,4.25842e-05
100,2903.83,0.82043,0.5624,1.26726,0.98681,0.999,0.995,0.70401,0.80092,0.58246,1.30272,2.84371e-05,2.84371e-05,2.84371e-05
